p1,p2,p3,n_pois,business_ids
26,84,115,6,g5J9OJ5e8SgLYd2DL8_K9w|9JaoQxrPpDfQ_vbZFgSXIw|fWZ01ZcWML9Ti5StoQtgSQ|SOJB3Kai-qY-eKZKfXZXfA|6ndEtmU_9voBcUCbpbV2qg...
110,72,116,5,MfyUK58sdUokMdIZNdem0w|DnqMITzlJwE4io3FKI8CiQ|rbT-MIIvpSQYmnADue9xKA|kvvQoiwCk3TzyYGh9B7m_Q|lJcc3BOuEwT8dMJwc4NXKg
2,9,127,4,bjsBMTS4RD7Bs35ugv_fPA|Ea030K8FnL174q_Y-Wr1_w|Na0AbPf1GDkN33FllkOfDQ|grEJZ7iyhUbF8xuwmFRdAA
110,52,86,4,qQmdJFMWoDe2T2lbacBE8g|1MSOoGQuDbj6C5euUoS-hA|BvGL0uHI5laa5hKIsnPbNQ|zpeKRRCjRpmwT4ODA-RfLg
55,108,10,4,PWWGbkPC_agn-4s1Hv1W5A|3DSgJFIaXjdknbZn3LSnPQ|Ukn2qaxEP0sbjoiwn2LwhA|NmJX_LZ7ShIZqspI31RVZA
73,43,86,4,sxuv5uZU15UHGT_HB1xYxQ|PPcz-0UtIJ8O7xDT551y2g|pqF3WkYktbR28uk2PSR7Rg|scH9yupjqMr-XP3bzJGY0A
37,21,99,4,hjIjdcwIlfLFQXQp8TvL6g|Oh5Or6DRzWQqQ29riTtjVA|6kmexpuivgntmonKoE66eQ|cRg8dJQLyrSymyli4WxNXg
80,33,56,4,MG0IlmvAILSzRE4E1gk5hA|Pf_7rI6TnV8M_btOBBLg5w|zxW8zECvT_SqejieMMjb5A|yPSejq3_erxo9zdVYTBnZA
45,103,53,4,nhQswQDj-7YtK2YRndFrng|5vBdgpd3IQb3EhRXNY8mUQ|gfjjUlMC05kry6qjYyKrcA|hcxijXzqdXvwB45vg8i0qA
39,70,38,3,Tcu6gDDwPRONZ1-a9QZMGg|WWpYK1-xmJzVcUyv_e_sVg|P3zq1bsGCZm3qp4yLkqHnA
44,87,99,3,jDkuSoW_3i1k0EwXAGwUaw|45l9CK5t_Vg5jPfyzip0WA|z1fXoMhXyq-gx4qA1EcQfA
82,109,26,3,noByYNtDLQAra9ccqxdfDw|Aj5qHm6VMjwz21HDFhSeoQ|SVJ_EvFnsqZEvoqjXD3CSw
63,72,10,3,7j8rT3FZbXgL4k0DnXi2Mw|o5w6WfzeqpP8S_ewvy_pMA|5skL69RhjE0byYLjyqVG5w
67,125,7,3,JHRAqu_yNBESrFiPi23Z-Q|_K4wZTeVvtEfddcPWwa5WQ|LszNNWHn3YiQ0XEtXOkaRA
27,33,7,3,Nv6ruFQa6AG6g8f-_IxFCw|er6TqaBx6m2xpKJhqD74FQ|11RNOheZvab_FDcLtsZUug
82,82,100,3,r__4cxZAlloPl9p8nwU7yw|JmpZs5_Su2PrM__p5yXQqg|AlQS5IU_bQ0_KnOTgV1lTQ
75,86,127,3,-iXHEMcqfMXvRjbKFh3IYA|s6-pwQHhvnyeMmyhROvvgA|ljbmEIJs2Ta1yGxt18YuhQ
26,30,111,3,MsMZdjkTAIPKwmvLfnog7g|x9OpEDgaPmWFRHB9OjI1cw|AAiPARkDNPHR2g7BnmFRUw
60,44,124,3,Uo8McGzcG5ifxPUi67_Sug|BQGaox52fHg46Vzto_9Z_Q|CTw1twYjlN4MvFBPaMxm7g
87,21,49,3,7wcHZ80HLJVwUijAH_efJQ|SYHDOHRNAH-2xsw3XB5qbg|0RxU5OglQyPVtLKC1LPgsA
69,9,63,3,GwtVBqKzW9j0zNQ7nYnT5g|XgehM3pBZWuXi45J2dqRJQ|YgbIbmfDlB-bZSsjuIfKwA
48,125,116,3,IY8S1myIvfpcg8d1QL87jg|pOiQtuS_tH8qp_4Dq_J84Q|mi9mVfoz1n6VnREfqbc3EQ
68,91,48,3,Qh4SE3580B-nnH3DwuAXOA|Swk_Fdv-gRY8zUT2ft18Kg|TqE83vo_rs4h4EycnuLI6g
67,125,14,3,SjjHIAIruI4gEskkL-Mo8g|wifIOLejgz3r7l0jNQouCQ|-AAODDlBwYz3Hcc5NpdN2Q
35,76,24,3,VGFX-c2UCC4ZRwztCE1nzA|p6fE-w8UbM3hvAbCMd4www|cGOyuBb-O1sE_HrScdysog
99,21,127,3,CgjtA5DXxQBqWSvcC8zl6Q|j11iE1PozOKiUxhH_fT-VQ|L4KmO9khg-x19gXaDhgsLA
127,86,127,3,OuXwt35S4Fx3ZpeDGACSdg|F2PecFeTI-I9FTWlQCjMGg|jX1kNhinDzathM9gLumIjA
15,93,97,3,NtDEQnduBCL66ZTYUbtP7w|SQvoj7ElZEYquZ9sNip8Yw|c2CiGIHvKPWYWtRLa9zm7Q
29,41,89,3,bTVY4S3fC-ZI4-Vy-fvCsQ|JnFpgav_bgPN6aSJDYpzyg|_TEWOkqBWDtNigjujuPQfw
0,87,116,3,xUvxCN6lRQ9jH1c9SUwRhQ|DfKEpNI5V1Nt8ZBe1E5JhA|s-YfYglIa3MEnBEaCtcxQA
116,125,116,3,nqPWDvSRm7llnymaSKxW5Q|UYjd_jY_v55ZKkO1oLO0sA|YNPrZDl-OklxhnemnMd-Wg
63,58,56,3,D5Oj2J03gwy6flkMZM79Aw|1a0cHufo-bV7K-tTXr-Elg|4yZ33oIbpbDKKbrxw01gyA
70,81,64,3,PZ-JJDa1iZRQ5FdupIwJtg|skHwbb-SxqFeKHNemu1m8w|SjRaS5u0GR1vLgs5-4EH8Q
80,33,26,3,6RBZfirnzE4NahJTn1UPNA|9ugpNKKhnYRa51qXoxUw_A|qnv_h-O1DzaHIL1sKrI-Yg
61,89,49,3,gb6g4-ew5AD_YNy8weQUQg|AnXojlgb5m5R28VDyYIqag|LsFLAV2Sfq_DaRjDaI8LRA
37,125,10,3,HKpj4WhMCtcpkaMhBtpACQ|49lnjHiM8u85lrGjd-T4jQ|spRrhARsgEUeVvqlYg4w0Q
119,56,26,3,NIQWO-Q_F598XlAvZnFVCA|IZJacI6XEUxy3_wbW76Qfw|EZc2myE2mYk2h9JK9qu8gw
