layer,code,n_pois,pct_of_total
2,81,114,2.9835121695891127
2,72,98,2.564773619471343
2,51,85,2.224548547500654
2,9,73,1.9104946349123266
2,86,72,1.884323475529966
2,33,69,1.805809997382884
2,43,64,1.6749542004710807
2,28,59,1.5440984035592777
2,125,59,1.5440984035592777
2,56,57,1.4917560847945563
2,71,56,1.4655849254121958
2,59,53,1.3870714472651138
2,88,52,1.3609002878827532
2,92,51,1.3347291285003926
2,5,51,1.3347291285003926
2,21,50,1.308557969118032
2,106,46,1.2038733315885892
2,32,45,1.1777021722062286
2,82,45,1.1777021722062286
2,93,45,1.1777021722062286
2,23,44,1.151531012823868
2,0,43,1.1253598534415075
2,27,42,1.0991886940591469
2,113,42,1.0991886940591469
2,53,41,1.0730175346767863
2,1,41,1.0730175346767863
2,48,40,1.0468463752944255
2,100,40,1.0468463752944255
2,41,40,1.0468463752944255
2,115,40,1.0468463752944255
2,91,39,1.020675215912065
2,104,39,1.020675215912065
2,105,38,0.9945040565297042
2,2,38,0.9945040565297042
2,98,38,0.9945040565297042
2,63,38,0.9945040565297042
2,110,38,0.9945040565297042
2,11,37,0.9683328971473436
2,66,37,0.9683328971473436
2,123,36,0.942161737764983
2,39,35,0.9159905783826224
2,64,35,0.9159905783826224
2,34,34,0.8898194190002617
2,60,34,0.8898194190002617
2,57,34,0.8898194190002617
2,119,33,0.8636482596179011
2,112,33,0.8636482596179011
2,94,33,0.8636482596179011
2,99,33,0.8636482596179011
2,109,32,0.8374771002355403
2,4,32,0.8374771002355403
2,37,32,0.8374771002355403
2,50,31,0.8113059408531798
2,52,31,0.8113059408531798
2,14,31,0.8113059408531798
2,102,31,0.8113059408531798
2,42,30,0.7851347814708192
2,107,30,0.7851347814708192
2,116,30,0.7851347814708192
2,54,29,0.7589636220884586
2,89,29,0.7589636220884586
2,38,29,0.7589636220884586
2,68,29,0.7589636220884586
2,73,28,0.7327924627060979
2,120,28,0.7327924627060979
2,65,27,0.7066213033237372
2,96,27,0.7066213033237372
2,97,27,0.7066213033237372
2,83,26,0.6804501439413766
2,22,26,0.6804501439413766
2,101,25,0.654278984559016
2,69,25,0.654278984559016
2,13,24,0.6281078251766553
2,76,24,0.6281078251766553
2,44,23,0.6019366657942946
2,77,23,0.6019366657942946
2,95,23,0.6019366657942946
2,108,23,0.6019366657942946
2,58,23,0.6019366657942946
2,90,23,0.6019366657942946
2,17,22,0.575765506411934
2,70,22,0.575765506411934
2,87,22,0.575765506411934
2,16,21,0.5495943470295734
2,25,21,0.5495943470295734
2,31,21,0.5495943470295734
2,75,20,0.5234231876472127
2,85,20,0.5234231876472127
2,126,20,0.5234231876472127
2,74,20,0.5234231876472127
2,26,20,0.5234231876472127
2,40,20,0.5234231876472127
2,80,20,0.5234231876472127
2,78,19,0.4972520282648521
2,79,19,0.4972520282648521
2,67,18,0.4710808688824915
2,55,18,0.4710808688824915
2,10,18,0.4710808688824915
2,12,17,0.44490970950013087
2,8,16,0.41873855011777017
2,46,16,0.41873855011777017
2,127,16,0.41873855011777017
2,117,16,0.41873855011777017
2,84,13,0.3402250719706883
2,7,12,0.31405391258832765
2,19,12,0.31405391258832765
2,103,12,0.31405391258832765
2,18,12,0.31405391258832765
2,62,11,0.287882753205967
2,124,11,0.287882753205967
2,45,10,0.26171159382360637
2,36,10,0.26171159382360637
2,35,9,0.23554043444124576
2,61,9,0.23554043444124576
2,20,8,0.20936927505888508
2,30,7,0.18319811567652447
2,114,7,0.18319811567652447
2,111,6,0.15702695629416383
2,47,6,0.15702695629416383
2,122,6,0.15702695629416383
2,29,5,0.13085579691180318
2,3,5,0.13085579691180318
2,15,4,0.10468463752944254
2,118,4,0.10468463752944254
2,24,3,0.07851347814708191
2,6,3,0.07851347814708191
2,121,3,0.07851347814708191
2,49,1,0.026171159382360636
