Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
3-0,Category,54,Shopping,50.0,Hotels & Travel,14.8,Health & Medical,9.3,Fitness & Instruction,5.6,Beauty & Spas,5.6,14.8
3-0,Region,54,Santa Barbara,75.9,Goleta,16.7,Carpinteria,3.7,Isla Vista,1.9,Montecito,1.9,0.0
3-1,Category,42,Shopping,81.0,Food,7.1,Arts & Entertainment,4.8,Hotels & Travel,2.4,Personal Shopping,2.4,2.4
3-1,Region,42,Santa Barbara,78.6,Goleta,11.9,Carpinteria,4.8,Summerland,2.4,Isla Vista,2.4,0.0
3-2,Category,47,Restaurants,70.2,Food,27.7,Shopping,2.1,,0.0,,0.0,0.0
3-2,Region,47,Santa Barbara,72.3,Goleta,14.9,Carpinteria,8.5,Summerland,2.1,Montecito,2.1,0.0
3-3,Category,12,Beauty & Spas,75.0,Shopping,16.7,Barbers,8.3,,0.0,,0.0,0.0
3-3,Region,12,Santa Barbara,66.7,Goleta,16.7,Isla Vista,8.3,Carpinteria,8.3,,0.0,0.0
3-4,Category,21,Health & Medical,76.2,Shopping,14.3,Beauty & Spas,9.5,,0.0,,0.0,0.0
3-4,Region,21,Santa Barbara,95.2,Goleta,4.8,,0.0,,0.0,,0.0,0.0
3-5,Category,24,Health & Medical,79.2,Beauty & Spas,12.5,Shopping,8.3,,0.0,,0.0,0.0
3-5,Region,24,Santa Barbara,87.5,Goleta,12.5,,0.0,,0.0,,0.0,0.0
3-6,Category,24,Health & Medical,70.8,Fitness & Instruction,12.5,Beauty & Spas,8.3,Shopping,4.2,Health Coach,4.2,0.0
3-6,Region,24,Santa Barbara,75.0,Goleta,25.0,,0.0,,0.0,,0.0,0.0
3-7,Category,23,Health & Medical,82.6,Beauty & Spas,13.0,Counseling & Mental Health,4.3,,0.0,,0.0,0.0
3-7,Region,23,Santa Barbara,91.3,Goleta,4.3,SANTA BARBARA,4.3,,0.0,,0.0,0.0
3-8,Category,15,Health & Medical,66.7,Beauty & Spas,20.0,Shopping,6.7,Home Health Care,6.7,,0.0,0.0
3-8,Region,15,Santa Barbara,100.0,,0.0,,0.0,,0.0,,0.0,0.0
3-9,Category,19,Active Life,42.1,Fitness & Instruction,15.8,Health & Medical,10.5,Beaches,5.3,Local Flavor,5.3,21.1
3-9,Region,19,Santa Barbara,47.4,Carpinteria,15.8,Goleta,15.8,Montecito,10.5,Tampa,5.3,5.3
