p1,p2,p3,n_pois,business_ids
27,79,72,5,BaWVwChTW_MqkKru_WZp3g|1kVnChI4aqsPw9i2PVqkkw|c1oDGw0j9-Lxus_Xs7go8g|ziXR7sUrbKRCNeDqfjibUg|v5jxpGnKbx3vVxs28dgokQ
125,110,118,5,9PN9A30lz8YFlcHIVDweYw|hFfL3S0wdeFJYrFvPblJmA|weUzlfPnwgT6eH1bDKx1fg|pmWTIBodxcuTk4mC4isVPQ|Y7PWniPxY-ddGD-cG2ccOg
48,87,127,4,nhQswQDj-7YtK2YRndFrng|5vBdgpd3IQb3EhRXNY8mUQ|gfjjUlMC05kry6qjYyKrcA|hcxijXzqdXvwB45vg8i0qA
106,83,95,4,OYeD1t1aFvsL1Sbd2-LhdA|pIpuOlU5vbguR0ROcQAdoA|EA4v61tJCHg8xhk7bqn8Yw|ADXXx_SZHQ2VshB7EX-S2A
12,79,124,4,zu4p6IZLSVn2Noto-vcwzw|ejqpFQ0dwO7AZhxTO9fySg|E3WUDYEvCVMplIFMgeN1xw|Ss6f5v_t5Vddiaz4ZOxL0g
107,72,100,4,06pNHtxgPhGhZpM0Z2uzNw|U3grYFIeu6RgAAQgdriHww|-TjT3y-Glfnbt6LbKETAYg|ZRy4atrG3YHdb__qtE0FsA
1,34,105,4,YyzkEQCnzj9FaRE-g6vNmg|zJwqFobi_WTkVpufCYgl6w|i7z8a6JJwaEspmHOof9VkA|_j3bPrVniuj7zjLYtqndvg
71,7,95,4,HwZG4PC_g_MHGogpYdAd0Q|S1jbgqYeZHJCG0xeUPcD8Q|Rq8ZbTeHxEodVDvoyId3Ug|6qizrV2n_9jxxKa2t5dM1A
122,81,65,4,MfyUK58sdUokMdIZNdem0w|rbT-MIIvpSQYmnADue9xKA|kvvQoiwCk3TzyYGh9B7m_Q|J86LJtszDf3saL0B51W_xw
95,65,33,4,PZ-JJDa1iZRQ5FdupIwJtg|4eoPq_OCJmworO9gw6ZcmA|JTJLtrghj19HAWLlAzz7sA|uTM5frkl43QasktcP2--Bg
14,23,56,4,taBh2XO2QtxQMJBoNOyBaA|NSTkwzQwAheuuTCjCvRVmA|9VHwS0FTeh66NdDbXGvQiA|sRnin9DQOizmonQ2NugLww
106,25,72,4,TinAvKlW61thzvqVgqf6zw|ebj9-iotaRzsVjesD8xKZQ|OCeylb8A6O9wt2NrR9dB8A|YUrMj0-zS7jejLHEfPF-VA
4,4,86,3,yFHFfDAnnrO6JQY-AgTgQw|c0v6NqG5Fo49Nq3DiEef5w|z2K-jFZhP7Em0Ol6p8V6kw
33,38,17,3,2yHl6wl1iFa_Jo_SZcmSuw|eWO0JDuHUwaTaT_bDMPLRw|boTwyOpii_MfFwwo6gPp6w
69,109,104,3,9veDdtuF1SvMh40T0ZJnUw|oy_1oustgtgMYgdkfJ36dQ|u1g9bbBkP4niZL7uXgT8Vw
122,97,72,3,_QohBRBxWuwlIUuHj5_fZQ|kUTmOqti8IaI3wF2hZBPBQ|svNB9xp0PWFKj6jDrCmRyw
102,92,100,3,tGQytMbOXDdZS_OSK9hkBw|edJoBsse6nsF0BYh6pATAg|vDBfhX1XI4uRWBCQQNRsUg
32,32,95,3,yw3vRR7XLIjEnlhMnVzR7w|8FgcWn7bdMC-TMrE4Q3xMg|YXKot5TH9MhC4khAn0JC3w
27,122,56,3,ghLjxj4HoSHdflBEz2lIqA|xkS_mRHVHuX0ko6kVIyBdA|vyOVT4bcW227LRwJGHTeSw
