layer,code,n_pois,pct_of_total
3,72,239,6.254907092384193
3,100,231,6.045537817325307
3,65,210,5.495943470295734
3,7,141,3.69013347291285
3,95,134,3.5069353572363258
3,37,129,3.376079560324522
3,107,125,3.27139492279508
3,56,125,3.27139492279508
3,50,121,3.166710285265637
3,124,119,3.114367966500916
3,122,101,2.6432870976184244
3,24,85,2.224548547500654
3,30,85,2.224548547500654
3,104,81,2.1198639099712118
3,105,68,1.7796388380005235
3,110,65,1.7011253598534413
3,22,60,1.5702695629416383
3,85,56,1.4655849254121958
3,55,56,1.4655849254121958
3,86,52,1.3609002878827532
3,84,51,1.3347291285003926
3,33,50,1.308557969118032
3,9,49,1.2823868097356714
3,51,47,1.23004449097095
3,115,46,1.2038733315885892
3,62,45,1.1777021722062286
3,17,43,1.1253598534415075
3,58,43,1.1253598534415075
3,90,41,1.0730175346767863
3,52,41,1.0730175346767863
3,123,40,1.0468463752944255
3,78,40,1.0468463752944255
3,16,39,1.020675215912065
3,113,36,0.942161737764983
3,70,35,0.9159905783826224
3,125,35,0.9159905783826224
3,43,34,0.8898194190002617
3,79,34,0.8898194190002617
3,23,32,0.8374771002355403
3,11,32,0.8374771002355403
3,19,32,0.8374771002355403
3,98,30,0.7851347814708192
3,36,30,0.7851347814708192
3,116,26,0.6804501439413766
3,18,24,0.6281078251766553
3,38,24,0.6281078251766553
3,35,23,0.6019366657942946
3,112,22,0.575765506411934
3,47,21,0.5495943470295734
3,73,20,0.5234231876472127
3,89,19,0.4972520282648521
3,91,18,0.4710808688824915
3,68,18,0.4710808688824915
3,77,17,0.44490970950013087
3,97,16,0.41873855011777017
3,75,16,0.41873855011777017
3,60,15,0.3925673907354096
3,59,15,0.3925673907354096
3,32,14,0.36639623135304894
3,96,14,0.36639623135304894
3,45,14,0.36639623135304894
3,64,13,0.3402250719706883
3,74,13,0.3402250719706883
3,80,12,0.31405391258832765
3,102,10,0.26171159382360637
3,15,10,0.26171159382360637
3,121,10,0.26171159382360637
3,119,10,0.26171159382360637
3,21,10,0.26171159382360637
3,118,9,0.23554043444124576
3,1,9,0.23554043444124576
3,8,8,0.20936927505888508
3,87,8,0.20936927505888508
3,103,8,0.20936927505888508
3,41,7,0.18319811567652447
3,29,7,0.18319811567652447
3,92,7,0.18319811567652447
3,127,7,0.18319811567652447
3,69,6,0.15702695629416383
3,57,6,0.15702695629416383
3,14,6,0.15702695629416383
3,82,6,0.15702695629416383
3,5,6,0.15702695629416383
3,81,5,0.13085579691180318
3,40,5,0.13085579691180318
3,39,5,0.13085579691180318
3,0,5,0.13085579691180318
3,13,5,0.13085579691180318
3,44,5,0.13085579691180318
3,54,5,0.13085579691180318
3,111,4,0.10468463752944254
3,120,4,0.10468463752944254
3,42,4,0.10468463752944254
3,3,4,0.10468463752944254
3,106,4,0.10468463752944254
3,117,4,0.10468463752944254
3,93,4,0.10468463752944254
3,12,3,0.07851347814708191
3,53,3,0.07851347814708191
3,48,3,0.07851347814708191
3,2,3,0.07851347814708191
3,34,3,0.07851347814708191
3,66,3,0.07851347814708191
3,126,3,0.07851347814708191
3,71,2,0.05234231876472127
3,49,2,0.05234231876472127
3,25,2,0.05234231876472127
3,99,2,0.05234231876472127
3,67,2,0.05234231876472127
3,61,2,0.05234231876472127
3,94,1,0.026171159382360636
3,27,1,0.026171159382360636
3,4,1,0.026171159382360636
3,88,1,0.026171159382360636
3,101,1,0.026171159382360636
3,28,1,0.026171159382360636
3,63,1,0.026171159382360636
3,108,1,0.026171159382360636
3,46,1,0.026171159382360636
3,83,1,0.026171159382360636
3,76,1,0.026171159382360636
3,10,1,0.026171159382360636
3,6,1,0.026171159382360636
