Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
0,Category,33,Health & Medical,39.4,Hotels & Travel,33.3,Shopping,15.2,Restaurants,3.0,Arts & Entertainment,3.0,6.1
0,Region,33,Santa Barbara,81.8,Goleta,12.1,Carpinteria,3.0,Montecito,3.0,,0.0,0.0
1,Category,47,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
1,Region,47,Santa Barbara,61.7,Goleta,19.1,Carpinteria,8.5,Montecito,4.3,Summerland,4.3,2.1
2,Category,23,Food,65.2,Restaurants,30.4,Pop-Up Restaurants,4.3,,0.0,,0.0,0.0
2,Region,23,Santa Barbara,69.6,Goleta,21.7,Isla Vista,4.3,Carpinteria,4.3,,0.0,0.0
3,Category,40,Restaurants,90.0,Food,7.5,Arts & Entertainment,2.5,,0.0,,0.0,0.0
3,Region,40,Santa Barbara,57.5,Goleta,25.0,Carpinteria,7.5,Montecito,5.0,Isla Vista,5.0,0.0
4,Category,39,Shopping,25.6,Beauty & Spas,25.6,Health & Medical,15.4,Restaurants,15.4,Hotels & Travel,5.1,12.8
4,Region,39,Santa Barbara,71.8,Carpinteria,12.8,Goleta,7.7,Montecito,5.1,Summerland,2.6,0.0
5,Category,22,Health & Medical,36.4,Hotels & Travel,36.4,Seafood Markets,4.5,Hiking,4.5,Fitness & Instruction,4.5,13.6
5,Region,22,Santa Barbara,81.8,Montecito,4.5,Isla Vista,4.5,Carpinteria,4.5,Goleta,4.5,0.0
6,Category,23,Beauty & Spas,82.6,Barbers,8.7,Hotels & Travel,4.3,Zoos,4.3,,0.0,0.0
6,Region,23,Santa Barbara,91.3,Goleta,4.3,Carpinteria,4.3,,0.0,,0.0,0.0
7,Category,27,Health & Medical,40.7,Hotels & Travel,22.2,Beauty & Spas,11.1,Shopping,11.1,Counseling & Mental Health,3.7,11.1
7,Region,27,Santa Barbara,85.2,Goleta,7.4,Montecito,3.7,Carpinteria,3.7,,0.0,0.0
8,Category,43,Shopping,62.8,Beauty & Spas,16.3,Food,14.0,Barbers,4.7,Specialty Food,2.3,0.0
8,Region,43,Santa Barbara,74.4,Goleta,18.6,Montecito,2.3,Summerland,2.3,Isla Vista,2.3,0.0
9,Category,22,Restaurants,50.0,Food,45.5,Shopping,4.5,,0.0,,0.0,0.0
9,Region,22,Santa Barbara,54.5,Carpinteria,31.8,Goleta,13.6,,0.0,,0.0,0.0
10,Category,24,Health & Medical,37.5,Shopping,33.3,Beauty & Spas,8.3,Home Health Care,4.2,Restaurants,4.2,12.5
10,Region,24,Santa Barbara,79.2,Goleta,16.7,Montecito,4.2,,0.0,,0.0,0.0
11,Category,22,Shopping,40.9,Arts & Entertainment,13.6,Health & Medical,13.6,Food,13.6,Beauty & Spas,9.1,9.1
11,Region,22,Santa Barbara,72.7,Goleta,18.2,Montecito,4.5,Isla Vista,4.5,,0.0,0.0
12,Category,31,Restaurants,48.4,Food,41.9,Shopping,3.2,Specialty Food,3.2,Beauty & Spas,3.2,0.0
12,Region,31,Santa Barbara,58.1,Goleta,25.8,Carpinteria,6.5,Isla Vista,3.2,Santa Clara,3.2,3.2
13,Category,38,Shopping,31.6,Health & Medical,26.3,Beauty & Spas,10.5,Arts & Entertainment,10.5,Restaurants,7.9,13.2
13,Region,38,Santa Barbara,81.6,Carpinteria,10.5,Goleta,7.9,,0.0,,0.0,0.0
14,Category,15,Health & Medical,40.0,Hotels & Travel,26.7,Beauty & Spas,13.3,Restaurants,6.7,Arts & Entertainment,6.7,6.7
14,Region,15,Santa Barbara,73.3,Goleta,20.0,SANTA BARBARA AP,6.7,,0.0,,0.0,0.0
15,Category,22,Hotels,45.5,Hotels & Travel,45.5,Beauty & Spas,4.5,Food,4.5,,0.0,0.0
15,Region,22,Santa Barbara,90.9,Goleta,9.1,,0.0,,0.0,,0.0,0.0
16,Category,20,Hotels & Travel,35.0,Health & Medical,30.0,Shopping,15.0,Beauty & Spas,10.0,Fitness & Instruction,5.0,5.0
16,Region,20,Santa Barbara,90.0,Goleta,5.0,Montecito,5.0,,0.0,,0.0,0.0
