p1,p2,p3,n_pois,business_ids
28,39,86,16,_mXx2LK2F1Axbj2KXyVMig|P9T7y79cIzfF5QqUGpcp2Q|mbxBhg3Y-vkI-aQ3nhsxlA|0n6rbrYy_zlr9N1WnEmr9Q|TfczlMPOJpsPun99HcKg5A...
3,62,52,13,bSkVnO6eQmtJa3NoWg_Hcw|aVuTyChb5_NtujVGNOKbbg|CLxp3JZNCLppIMHRUB3I-Q|B-XPbtnPLfqIZHTpvapQ6w|kB5uFZ9X0HEku96FRt493A...
55,60,100,11,i4ym2Gg5-ozD52ZjgDQyNw|xTINmUeo7FhXjnitH2a8vQ|eX1E0J6uh8a3oVazer1_yw|Pk8wDjFerE25edYymxRDPg|WNBEsnHwe94X6TY3pQUOHA...
1,76,105,9,nt1jLHRIeV5HqB5PfFWbKA|sW2_khTBl1ugiCz8jRr9qw|M9JWfmlIZzT9R5GMHk_RLg|qPPBosvZZnHCgZKMq0wvgg|J1VkNgVP-iNNZ2TNgC76cw...
69,92,90,8,J1yeiRSPi4qOYKilgiBbIw|vrx-YThMm8N6pLr7YkXINA|s4V0kpHHzUyEKmKBgKwSUw|V8zZ4f_KxOS64wXjH58GtQ|X2HJNKFY58RW1mzjH3n6dg...
67,76,82,8,jX8i0O2x-koganf8WwHXdA|GAZMcRxy2i8ZHlwl7otD6Q|-5LzSdkohuiRPOLi0GGCJQ|liBiXtYbNpcDR-pMPoHAIg|s3_l6m4HDxhz_V9T1HKyFg...
5,58,12,8,pOKlPUu1ecsedBwKqNfWUg|lXkjfmdIKGB-WwEuuEEAmw|76C-eHHHP27BreuMkdN9cQ|uKEZQ_j3B8kMd-ThoGZDYQ|FGUeyrd0lKyWn1Eb_3H7Pg...
108,108,25,8,AfassS1QI0DHsqwuof9-lA|CM5Dq-mKnZYdi9OlVluehA|rjioWnWXnEbPc_0ocmoQEw|HW5LkI9qeqVDwHqhd00_8A|n2976VTltvlSwENZxYJoNQ...
5,85,20,8,ZrkdPWQicriMCcDVDX0dCA|G4P_3-Gj3b5pizqDmitP3w|OG8er33dEnzM1Bc9nErUmA|QI7hNd1fCZBWlD6u0RS6nQ|OSFvJokeN68Pl1kQxaxP8w...
110,108,39,7,N2kFhCeHWw5B9nxjtkgotQ|Gy6tBn6lrf4AN2Gr1I8Oyg|OqyaD0hEytrcfC_F-ugqMw|VoOlwCavQQ_A5My7TC7t2w|TdrNka-oPWf4B-jN9rKltw...
69,86,22,7,WIeAfvm5pcjtcWo7DdQeWA|w0MduHbQNWZkYl66jZIiEA|0eOCn6kZSck6cpfm6-_RhQ|wyh8nZqjR0D_t86F3v7oPw|3FlUa98PjRhFEfmMkJlOMw...
2,94,86,7,0jfIDaLE1TlsTvVMEkA3dg|iAE-6OdEuKcl5iviLvZ9wg|Tdb_Nd4EQar9sXE-a8SPSA|DPrljq4TfnQe2UK5TR1K7Q|diXMgEnp5_CFUR5Qe6J0SQ...
67,2,82,7,ed-eGpyeu6K7pHWoqnvOkA|IUy1uzwr_aQ4nzdBNMwgRA|A-yqzgOwLIfoT-rgILQSNg|FKK5ucMZVKr6qdU_SnUEuA|FkaPKIvGrG-MENTETzznZA...
48,81,117,7,CTCYk-k84VA5vCkRgv03Dg|3dd9a6QMCZc71UNMrBfSNA|HS8gBkXfgpRCBa8oP4JC-A|xmoQxKSelwLYjDAs3nND0g|aUEXumhU_SljLBVLbtjjaQ...
114,86,25,7,5yvs585-TDqiIJ39jHt8qQ|Z8qGOmU8YxDjLPBbrz84Yw|wd1AqgQQdeoMCMEwvvs4ow|jF5XeCVL6MrA2IcLIHy1JQ|C9C-JQOdb5iywv7MzBiUVw...
73,68,122,7,1fGaY2WlGv2l4as6UkMFrg|kC6C9mqUq_hMUYZZ-5kKWA|J3nx8u-uRRejlfyP9KjFhQ|Qc974_Ezjpqg2wW5uoEUxA|z3RdarkVy7JIwIICn-eT9A...
125,70,1,7,IhkMaYrHMVfV9CRjHc5ZBQ|sn7Tig3_rVLYv0FRguh5oQ|mRAEDyKqT5pXYLYJDoh6Rg|8KjJlBiO_ILI_Fvti_Hmfg|eX1y-liKYdbpX0urIWMiTw...
97,94,86,7,3ODVrxBUJh7qmHv64PyssA|0BJy9The-xE_M912gkwDHQ|JJpkrCogVw1EK7xDo29H4g|Kap3gxlPeVEWaVyCYgyUgw|gAYPTR2cdC4AqtutzR6KGQ...
2,17,86,7,pAVplVUnmW9vMUJbiDVyjw|CMLS5r0rOAWqlnu5lnC0TA|CZuC-Yp3O96vUyk-mvAd4A|u8pZiCYXTj9WRcK19b2koQ|3jpDBv6A6cc58BBGMcXTzQ...
111,106,84,6,-BhSR6dAry5-2x3ndjX_9w|2IOlw5AaluuCSci3Bd0u4w|SRt_CBBo9a7MuW629T0egw|k_xNR7103Sr652Uk2Sm7aw|9kuyu7R4T41gxapf7hO3Xg...
94,3,118,6,i4tdAvYzezhRsH_WtVmDSg|7u-7PVcjECvTeIumVTmS4g|t9BNV5xMOr9NVc_OmvdQ2Q|Fk7Ba6M0tPiVi_Tf3azO3w|vVrnNrZKh_2v6TTSknZnAw...
116,2,92,6,D2C_oX41MdCWhPY7eD0FVw|fSpQlTHx27EDhUc_MmXG5Q|iLSA0YCeg50DD0kc7D6srg|QIzTZoV4QFIgesL0aJV6Mg|vRTkeaKjMkiSf0EAmioIGQ...
110,70,97,6,I79keuDOkqf1CFjYDMRMNg|jM9eNs-zXQ9iPpKskv2kgA|TYylLv7GZ46PIiuum_G0gA|12rhY0NEtsiy_9S0oug2mA|1hiDEOPijnrWhDdx1z1yAQ...
0,28,82,6,Q2FP_Vd2E5uriqb28w9Y1g|oq8DOqkwLhVCziSjJTFSxg|4wgkBsiJWP5Ih0qLQDB95A|FGUI7K-YLVdY61PgIx-Rvg|kkjEXWlkHKcNJizf1Dy_PA...
