layer,code,n_pois,pct_of_total
3,25,610,5.208778071898215
3,1,528,4.508581675347964
3,105,528,4.508581675347964
3,97,478,4.081632653061225
3,65,462,3.945008965929468
3,82,453,3.8681581419178555
3,67,398,3.3985142174024423
3,58,328,2.8007855862010076
3,39,318,2.7153957817436596
3,81,316,2.69831782085219
3,118,309,2.6385449577320466
3,46,294,2.510460251046025
3,104,285,2.433609427034412
3,96,256,2.1859789941081034
3,84,249,2.12620613098796
3,62,240,2.049355306976347
3,8,236,2.015199385193408
3,80,236,2.015199385193408
3,15,231,1.972504482964734
3,111,222,1.8956536589531212
3,126,210,1.7931858936043037
3,98,204,1.741952010929895
3,92,195,1.665101186918282
3,34,189,1.6138673042438731
3,22,178,1.5199385193407906
3,83,174,1.4857825975578516
3,13,169,1.4430876953291778
3,24,161,1.3747758517632995
3,108,130,1.1100674579455212
3,99,127,1.084450516608317
3,21,123,1.050294594825378
3,73,110,0.9392878490308257
3,54,108,0.9222098881393562
3,77,101,0.8624370250192127
3,125,95,0.8112031423448041
3,45,93,0.7941251814533345
3,121,90,0.7685082401161302
3,32,86,0.734352318333191
3,36,84,0.7172743574417215
3,117,83,0.7087353769959867
3,44,82,0.7001963965502519
3,86,72,0.6148065920929041
3,90,71,0.6062676116471692
3,53,69,0.5891896507556998
3,35,68,0.580650670309965
3,12,65,0.5550337289727606
3,122,61,0.5208778071898216
3,100,60,0.5123388267440867
3,49,59,0.503799846298352
3,116,56,0.47818290496114757
3,28,55,0.46964392451541287
3,17,52,0.44402698317820855
3,29,45,0.3842541200580651
3,10,44,0.3757151396123303
3,120,43,0.3671761591665955
3,50,41,0.35009819827512595
3,43,39,0.33302023738365644
3,31,37,0.3159422764921868
3,110,35,0.2988643156007173
3,66,34,0.2903253351549825
3,9,34,0.2903253351549825
3,57,34,0.2903253351549825
3,11,33,0.28178635470924773
3,106,32,0.2732473742635129
3,7,32,0.2732473742635129
3,48,30,0.25616941337204335
3,64,25,0.21347451114336946
3,20,25,0.21347451114336946
3,5,25,0.21347451114336946
3,94,24,0.20493553069763473
3,16,23,0.19639655025189992
3,4,23,0.19639655025189992
3,95,23,0.19639655025189992
3,30,23,0.19639655025189992
3,47,23,0.19639655025189992
3,124,23,0.19639655025189992
3,114,23,0.19639655025189992
3,79,22,0.18785756980616514
3,87,22,0.18785756980616514
3,123,22,0.18785756980616514
3,3,22,0.18785756980616514
3,14,21,0.17931858936043038
3,41,19,0.1622406284689608
3,101,19,0.1622406284689608
3,52,17,0.14516266757749124
3,71,16,0.13662368713175646
3,69,15,0.12808470668602168
3,119,14,0.11954572624028689
3,55,14,0.11954572624028689
3,107,13,0.11100674579455214
3,76,13,0.11100674579455214
3,51,12,0.10246776534881737
3,26,12,0.10246776534881737
3,6,12,0.10246776534881737
3,38,12,0.10246776534881737
3,68,11,0.09392878490308257
3,72,11,0.09392878490308257
3,102,11,0.09392878490308257
3,88,11,0.09392878490308257
3,23,10,0.08538980445734778
3,2,10,0.08538980445734778
3,70,10,0.08538980445734778
3,37,9,0.07685082401161301
3,75,8,0.06831184356587823
3,74,8,0.06831184356587823
3,63,8,0.06831184356587823
3,42,8,0.06831184356587823
3,85,7,0.059772863120143446
3,19,7,0.059772863120143446
3,56,6,0.05123388267440868
3,60,6,0.05123388267440868
3,113,5,0.04269490222867389
3,0,5,0.04269490222867389
3,27,5,0.04269490222867389
3,33,4,0.034155921782939115
3,61,4,0.034155921782939115
3,115,4,0.034155921782939115
3,112,3,0.02561694133720434
3,78,3,0.02561694133720434
3,91,2,0.017077960891469558
3,109,2,0.017077960891469558
3,59,2,0.017077960891469558
3,89,2,0.017077960891469558
3,103,1,0.008538980445734779
3,40,1,0.008538980445734779
