Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
0,Category,81,Shopping,48.1,Health & Medical,25.9,Beauty & Spas,8.6,Fitness & Instruction,6.2,Arts & Entertainment,3.7,7.4
0,Region,81,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
1,Category,172,Shopping,34.9,Beauty & Spas,21.5,Health & Medical,13.4,Fitness & Instruction,8.7,Hotels & Travel,6.4,15.1
1,Region,172,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
2,Category,59,Restaurants,37.3,Shopping,16.9,Health & Medical,16.9,Beauty & Spas,13.6,Barbers,3.4,11.9
2,Region,59,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
3,Category,48,Restaurants,45.8,Shopping,22.9,Beauty & Spas,10.4,Health & Medical,6.2,Food,4.2,10.4
3,Region,48,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
4,Category,28,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
4,Region,28,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
5,Category,86,Restaurants,44.2,Shopping,24.4,Beauty & Spas,9.3,Food,7.0,Barbers,3.5,11.6
5,Region,86,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
6,Category,90,Restaurants,30.0,Shopping,20.0,Health & Medical,18.9,Beauty & Spas,13.3,Food,6.7,11.1
6,Region,90,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
7,Category,15,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
7,Region,15,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8,Category,128,Shopping,39.1,Beauty & Spas,20.3,Health & Medical,14.8,Arts & Entertainment,6.2,Hotels & Travel,6.2,13.3
8,Region,128,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
9,Category,170,Restaurants,90.0,Food,7.6,Specialty Food,1.2,Food Delivery Services,0.6,Food Trucks,0.6,0.0
9,Region,170,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
10,Category,85,Shopping,41.2,Beauty & Spas,24.7,Health & Medical,15.3,Restaurants,3.5,Barbers,3.5,11.8
10,Region,85,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
11,Category,213,Restaurants,92.0,Food,6.1,Specialty Food,1.4,Food Trucks,0.5,,0.0,0.0
11,Region,213,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
12,Category,26,Arts & Entertainment,38.5,Fitness & Instruction,26.9,Bars,7.7,Parks,7.7,Shopping,7.7,11.5
12,Region,26,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
13,Category,100,Restaurants,83.0,Food,13.0,Specialty Food,2.0,Restaurant Supplies,1.0,Seafood Markets,1.0,0.0
13,Region,100,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
14,Category,149,Restaurants,63.1,Shopping,11.4,Food,10.7,Hotels & Travel,3.4,Arts & Entertainment,2.7,8.7
14,Region,149,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
15,Category,81,Restaurants,27.2,Shopping,23.5,Health & Medical,13.6,Food,12.3,Beauty & Spas,8.6,14.8
15,Region,81,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
16,Category,60,Beauty & Spas,85.0,Shopping,8.3,Barbers,5.0,Health & Medical,1.7,,0.0,0.0
16,Region,60,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
17,Category,117,Shopping,29.9,Restaurants,23.1,Health & Medical,13.7,Beauty & Spas,11.1,Food,8.5,13.7
17,Region,117,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
18,Category,57,Beauty & Spas,73.7,Barbers,10.5,Health & Medical,8.8,Shopping,7.0,,0.0,0.0
18,Region,57,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
19,Category,24,Shopping,41.7,Hotels & Travel,37.5,Hotels,8.3,Food,4.2,Dog Parks,4.2,4.2
19,Region,24,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
20,Category,144,Restaurants,85.4,Food,13.2,Specialty Food,1.4,,0.0,,0.0,0.0
20,Region,144,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
21,Category,23,Restaurants,47.8,Food,30.4,Specialty Food,13.0,Food Trucks,8.7,,0.0,0.0
21,Region,23,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
22,Category,88,Health & Medical,20.5,Arts & Entertainment,18.2,Hotels & Travel,14.8,Shopping,12.5,Fitness & Instruction,6.8,27.3
22,Region,88,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
