Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
0,Category,81,Shopping,48.1,Health & Medical,25.9,Beauty & Spas,8.6,Fitness & Instruction,6.2,Arts & Entertainment,3.7,7.4
0,Region,81,87F6WRXM,3.7,87F6XR2G,2.5,87F6XR3M,2.5,87F6XR43,2.5,87F6XR2J,2.5,86.4
1,Category,172,Shopping,34.9,Beauty & Spas,21.5,Health & Medical,13.4,Fitness & Instruction,8.7,Hotels & Travel,6.4,15.1
1,Region,172,87F6XR2H,4.7,87F6WRXJ,3.5,87F6WVR2,3.5,87F6WRGM,2.9,87F6WRXQ,2.9,82.6
2,Category,59,Restaurants,37.3,Shopping,16.9,Health & Medical,16.9,Beauty & Spas,13.6,Barbers,3.4,11.9
2,Region,59,87F6XVF4,3.4,87F6WVX4,3.4,87G63QGR,3.4,87F6XR4P,3.4,87G63R6M,1.7,84.7
3,Category,48,Restaurants,45.8,Shopping,22.9,Beauty & Spas,10.4,Health & Medical,6.2,Food,4.2,10.4
3,Region,48,87G63X9V,4.2,87G62QPJ,2.1,87G64XCM,2.1,87F6WRVJ,2.1,87F6WRXM,2.1,87.5
4,Category,28,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
4,Region,28,87F6XR3R,7.1,87F6XR5R,3.6,87G63W3M,3.6,87F6XVX8,3.6,87F6XVR7,3.6,78.6
5,Category,86,Restaurants,44.2,Shopping,24.4,Beauty & Spas,9.3,Food,7.0,Barbers,3.5,11.6
5,Region,86,87G63R65,2.3,87G64X9J,2.3,87G63QGV,2.3,87F6XR2J,2.3,87F6XR4V,2.3,88.4
6,Category,90,Restaurants,30.0,Shopping,20.0,Health & Medical,18.9,Beauty & Spas,13.3,Food,6.7,11.1
6,Region,90,87F6XR4Q,2.2,87F6XR3M,2.2,87F6XR44,2.2,87F6WRGC,2.2,87F6XVQC,2.2,88.9
7,Category,15,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
7,Region,15,87F6XR2J,13.3,87G64X52,6.7,87F6WRXM,6.7,87G62VPR,6.7,87G63XPH,6.7,60.0
8,Category,128,Shopping,39.1,Beauty & Spas,20.3,Health & Medical,14.8,Arts & Entertainment,6.2,Hotels & Travel,6.2,13.3
8,Region,128,87F6WRXQ,4.7,87F6XR2J,3.9,87F6WVR2,3.9,87F6WRXJ,3.1,87F6XV33,1.6,82.8
9,Category,170,Restaurants,90.0,Food,7.6,Specialty Food,1.2,Food Delivery Services,0.6,Food Trucks,0.6,0.0
9,Region,170,87F6XR2H,2.4,87F6WRQR,1.8,87F6WRRX,1.8,87G62QGF,1.8,87F6WRRW,1.8,90.6
10,Category,85,Shopping,41.2,Beauty & Spas,24.7,Health & Medical,15.3,Restaurants,3.5,Barbers,3.5,11.8
10,Region,85,87F6WVR2,4.7,87F6WRRW,3.5,87F6WRXM,3.5,87F6XR2J,2.4,87F6XV23,2.4,83.5
11,Category,213,Restaurants,92.0,Food,6.1,Specialty Food,1.4,Food Trucks,0.5,,0.0,0.0
11,Region,213,87F6WRXR,3.3,87F6XR3R,3.3,87F6WRQR,1.9,87F6XR2H,1.9,87F6WRXQ,1.9,87.8
12,Category,26,Arts & Entertainment,38.5,Fitness & Instruction,26.9,Bars,7.7,Parks,7.7,Shopping,7.7,11.5
