Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
0,Category,81,Shopping,48.1,Health & Medical,25.9,Beauty & Spas,8.6,Fitness & Instruction,6.2,Arts & Entertainment,3.7,7.4
0,Region,81,19103,11.1,19102,8.6,19147,8.6,19104,6.2,19148,6.2,59.3
1,Category,172,Shopping,34.9,Beauty & Spas,21.5,Health & Medical,13.4,Fitness & Instruction,8.7,Hotels & Travel,6.4,15.1
1,Region,172,19103,18.6,19107,11.0,19106,7.6,19147,7.6,19148,5.2,50.0
2,Category,59,Restaurants,37.3,Shopping,16.9,Health & Medical,16.9,Beauty & Spas,13.6,Barbers,3.4,11.9
2,Region,59,19106,8.5,19148,8.5,19145,6.8,19102,6.8,19147,5.1,64.4
3,Category,48,Restaurants,45.8,Shopping,22.9,Beauty & Spas,10.4,Health & Medical,6.2,Food,4.2,10.4
3,Region,48,19149,8.3,19128,6.2,19124,6.2,19147,6.2,19144,6.2,66.7
4,Category,28,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
4,Region,28,19107,14.3,19145,10.7,19152,7.1,19133,7.1,19142,7.1,53.6
5,Category,86,Restaurants,44.2,Shopping,24.4,Beauty & Spas,9.3,Food,7.0,Barbers,3.5,11.6
5,Region,86,19107,9.3,19147,7.0,19104,4.7,19103,4.7,19114,4.7,69.8
6,Category,90,Restaurants,30.0,Shopping,20.0,Health & Medical,18.9,Beauty & Spas,13.3,Food,6.7,11.1
6,Region,90,19147,11.1,19148,5.6,19104,5.6,19107,5.6,19102,4.4,67.8
7,Category,15,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
7,Region,15,19102,26.7,19106,13.3,19115,6.7,19120,6.7,19114,6.7,40.0
8,Category,128,Shopping,39.1,Beauty & Spas,20.3,Health & Medical,14.8,Arts & Entertainment,6.2,Hotels & Travel,6.2,13.3
8,Region,128,19107,13.3,19103,10.9,19147,10.2,19148,7.0,19106,6.2,52.3
9,Category,170,Restaurants,90.0,Food,7.6,Specialty Food,1.2,Food Delivery Services,0.6,Food Trucks,0.6,0.0
9,Region,170,19147,15.3,19107,10.6,19103,10.0,19104,7.1,19106,7.1,50.0
10,Category,85,Shopping,41.2,Beauty & Spas,24.7,Health & Medical,15.3,Restaurants,3.5,Barbers,3.5,11.8
10,Region,85,19147,15.3,19107,8.2,19106,8.2,19102,7.1,19103,7.1,54.1
11,Category,213,Restaurants,92.0,Food,6.1,Specialty Food,1.4,Food Trucks,0.5,,0.0,0.0
11,Region,213,19107,12.2,19147,12.2,19103,8.5,19104,6.6,19106,4.7,55.9
12,Category,26,Arts & Entertainment,38.5,Fitness & Instruction,26.9,Bars,7.7,Parks,7.7,Shopping,7.7,11.5
12,Region,26,19103,19.2,19123,15.4,19104,11.5,19145,7.7,19131,7.7,38.5
13,Category,100,Restaurants,83.0,Food,13.0,Specialty Food,2.0,Restaurant Supplies,1.0,Seafood Markets,1.0,0.0
13,Region,100,19103,13.0,19147,8.0,19104,6.0,19106,6.0,19107,6.0,61.0
14,Category,149,Restaurants,63.1,Shopping,11.4,Food,10.7,Hotels & Travel,3.4,Arts & Entertainment,2.7,8.7
14,Region,149,19107,14.8,19147,8.7,19103,8.1,19102,6.0,19104,5.4,57.0
15,Category,81,Restaurants,27.2,Shopping,23.5,Health & Medical,13.6,Food,12.3,Beauty & Spas,8.6,14.8
15,Region,81,19106,12.3,19103,9.9,19107,9.9,19102,8.6,19123,6.2,53.1
16,Category,60,Beauty & Spas,85.0,Shopping,8.3,Barbers,5.0,Health & Medical,1.7,,0.0,0.0
16,Region,60,19103,13.3,19107,10.0,19125,8.3,19147,6.7,19123,5.0,56.7
17,Category,117,Shopping,29.9,Restaurants,23.1,Health & Medical,13.7,Beauty & Spas,11.1,Food,8.5,13.7
17,Region,117,19107,10.3,19103,7.7,19104,5.1,19116,5.1,19147,4.3,67.5
18,Category,57,Beauty & Spas,73.7,Barbers,10.5,Health & Medical,8.8,Shopping,7.0,,0.0,0.0
18,Region,57,19103,17.5,19107,10.5,19125,8.8,19102,8.8,19147,8.8,45.6
19,Category,24,Shopping,41.7,Hotels & Travel,37.5,Hotels,8.3,Food,4.2,Dog Parks,4.2,4.2
19,Region,24,19103,16.7,19145,8.3,19107,8.3,19102,8.3,19106,8.3,50.0
20,Category,144,Restaurants,85.4,Food,13.2,Specialty Food,1.4,,0.0,,0.0,0.0
