Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
8-0,Category,5,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-0,Region,5,87F6XR4V,20.0,87F6XV33,20.0,87G63R55,20.0,87F6WRRC,20.0,87F6XV75,20.0,0.0
8-2,Category,8,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-2,Region,8,87F6WRXJ,37.5,87F6XR2J,12.5,87F6WRXM,12.5,87F6WRJC,12.5,87F6WVR2,12.5,12.5
8-3,Category,1,Barbers,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-3,Region,1,87G732H4,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-4,Category,12,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-4,Region,12,87F6XR2J,25.0,87F6XR2H,16.7,87F6WRRX,8.3,87G732RQ,8.3,87F6WRGM,8.3,33.3
8-6,Category,2,Hotels & Travel,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-6,Region,2,87G62R3M,50.0,87G742G3,50.0,,0.0,,0.0,,0.0,0.0
8-7,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-7,Region,1,87F6WVC4,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-11,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-11,Region,1,87G64X49,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-15,Category,5,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-15,Region,5,87F6XQ3Q,20.0,87F6WRXQ,20.0,87F6WVV3,20.0,87F6WVR3,20.0,87G64X29,20.0,0.0
8-24,Category,2,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-24,Region,2,87F6WVR2,50.0,87F6WVQ2,50.0,,0.0,,0.0,,0.0,0.0
8-28,Category,9,Health & Medical,88.9,Beauty & Spas,11.1,,0.0,,0.0,,0.0,0.0
8-28,Region,9,87F6WRX4,22.2,87G62XQ7,11.1,87F6WRXJ,11.1,87G62QPP,11.1,87G63QHQ,11.1,33.3
8-31,Category,5,Arts & Entertainment,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-31,Region,5,87F6XRHR,20.0,87F6WR2H,20.0,87F6XV76,20.0,87F6XR2F,20.0,87F6XV78,20.0,0.0
8-33,Category,4,Beauty & Spas,75.0,Health & Medical,25.0,,0.0,,0.0,,0.0,0.0
8-33,Region,4,87F6WRWR,25.0,87F6WRJJ,25.0,87F6WRXQ,25.0,87G63Q47,25.0,,0.0,0.0
8-34,Category,2,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-34,Region,2,87F6XR3V,50.0,87G64X9J,50.0,,0.0,,0.0,,0.0,0.0
8-50,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-50,Region,1,87F6WVF5,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-53,Category,8,Shopping,87.5,Specialty Food,12.5,,0.0,,0.0,,0.0,0.0
8-53,Region,8,87F6WRXQ,12.5,87G62R57,12.5,87G62QGG,12.5,87F6XR2G,12.5,87F6WVR2,12.5,37.5
8-59,Category,1,Food,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-59,Region,1,87F6XR3V,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-63,Category,7,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-63,Region,7,87F6XV33,14.3,87G64W4V,14.3,87F6WRGM,14.3,87G63Q27,14.3,87F6XVMV,14.3,28.6
8-72,Category,4,Fitness & Instruction,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-72,Region,4,87F6WRXQ,25.0,87G62R5F,25.0,87F6WRVJ,25.0,87F6XR6W,25.0,,0.0,0.0
8-75,Category,3,Arts & Entertainment,66.7,Shopping,33.3,,0.0,,0.0,,0.0,0.0
8-75,Region,3,87F6WRXP,33.3,87F6WVR2,33.3,87F6XR2G,33.3,,0.0,,0.0,0.0
8-76,Category,3,Beauty & Spas,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-76,Region,3,87F6XR3W,33.3,87G62VG3,33.3,87F6WRXQ,33.3,,0.0,,0.0,0.0
8-77,Category,1,Hotels & Travel,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-77,Region,1,87F6XR3Q,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-83,Category,2,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
8-83,Region,2,87G62VQP,50.0,87G732WF,50.0,,0.0,,0.0,,0.0,0.0
