layer,code,n_pois,pct_of_total
1,48,163,1.761019878997407
1,76,159,1.7178046672428695
1,54,153,1.652981849611063
1,66,145,1.5665514261019877
1,77,142,1.5341400172860846
1,75,141,1.5233362143474503
1,45,137,1.4801210025929128
1,81,137,1.4801210025929128
1,63,134,1.4477095937770095
1,103,132,1.4261019878997407
1,91,128,1.382886776145203
1,100,126,1.3612791702679343
1,92,125,1.3504753673293
1,85,124,1.3396715643906656
1,123,122,1.3180639585133966
1,15,122,1.3180639585133966
1,120,121,1.3072601555747623
1,112,120,1.296456352636128
1,87,117,1.2640449438202246
1,59,116,1.2532411408815902
1,24,113,1.2208297320656871
1,89,111,1.1992221261884184
1,82,108,1.166810717372515
1,67,107,1.1560069144338807
1,55,106,1.1452031114952463
1,49,106,1.1452031114952463
1,95,103,1.1127917026793432
1,18,98,1.0587726879861712
1,39,97,1.0479688850475368
1,23,97,1.0479688850475368
1,118,96,1.0371650821089022
1,94,96,1.0371650821089022
1,38,95,1.0263612791702679
1,72,95,1.0263612791702679
1,84,93,1.0047536732929991
1,1,93,1.0047536732929991
1,16,92,0.9939498703543647
1,109,89,0.9615384615384616
1,61,89,0.9615384615384616
1,36,89,0.9615384615384616
1,0,88,0.9507346585998271
1,71,87,0.9399308556611927
1,116,87,0.9399308556611927
1,65,86,0.9291270527225584
1,99,86,0.9291270527225584
1,30,85,0.918323249783924
1,79,84,0.9075194468452896
1,105,82,0.8859118409680208
1,8,82,0.8859118409680208
1,115,82,0.8859118409680208
1,83,81,0.8751080380293864
1,5,79,0.8535004321521175
1,122,79,0.8535004321521175
1,35,78,0.8426966292134831
1,52,78,0.8426966292134831
1,50,78,0.8426966292134831
1,25,78,0.8426966292134831
1,96,76,0.8210890233362144
1,64,75,0.8102852203975799
1,108,74,0.7994814174589455
1,126,74,0.7994814174589455
1,13,73,0.7886776145203112
1,113,72,0.7778738115816767
1,43,72,0.7778738115816767
1,31,71,0.7670700086430423
1,33,67,0.7238547968885047
1,37,67,0.7238547968885047
1,101,65,0.7022471910112359
1,124,64,0.6914433880726015
1,11,64,0.6914433880726015
1,117,64,0.6914433880726015
1,80,62,0.6698357821953328
1,9,60,0.648228176318064
1,121,59,0.6374243733794295
1,19,59,0.6374243733794295
1,26,58,0.6266205704407951
1,102,58,0.6266205704407951
1,127,57,0.6158167675021609
1,119,54,0.5834053586862575
1,4,54,0.5834053586862575
1,34,54,0.5834053586862575
1,114,54,0.5834053586862575
1,42,52,0.5617977528089888
1,90,52,0.5617977528089888
1,60,52,0.5617977528089888
1,110,52,0.5617977528089888
1,73,51,0.5509939498703544
1,21,48,0.5185825410544511
1,10,47,0.5077787381158168
1,6,46,0.49697493517718233
1,104,46,0.49697493517718233
1,107,46,0.49697493517718233
1,98,44,0.47536732929991354
1,68,44,0.47536732929991354
1,88,42,0.4537597234226448
1,40,41,0.4429559204840104
1,78,41,0.4429559204840104
1,14,40,0.432152117545376
1,51,39,0.42134831460674155
1,58,38,0.4105445116681072
1,2,38,0.4105445116681072
1,97,38,0.4105445116681072
1,17,36,0.38893690579083834
1,62,36,0.38893690579083834
1,12,35,0.378133102852204
1,111,35,0.378133102852204
1,74,34,0.3673292999135696
1,46,34,0.3673292999135696
1,41,33,0.3565254969749352
1,86,33,0.3565254969749352
1,28,31,0.3349178910976664
1,3,31,0.3349178910976664
1,27,31,0.3349178910976664
1,29,30,0.324114088159032
1,20,29,0.31331028522039756
1,125,29,0.31331028522039756
1,56,27,0.29170267934312877
1,22,26,0.2808988764044944
1,7,25,0.27009507346586
1,93,24,0.25929127052722556
1,70,24,0.25929127052722556
1,106,24,0.25929127052722556
1,69,22,0.23768366464995677
1,47,20,0.216076058772688
1,32,20,0.216076058772688
1,53,17,0.1836646499567848
1,44,15,0.162057044079516
1,57,14,0.1512532411408816
