p1,p2,p3,n_pois,business_ids
48,13,53,10,E9oGqbo7KWr_NKZTsmzqaQ|NAGWNngVeVKkMO-EFxYxdA|1iQpAAWmGp6yJCNr-7DMRQ|0OVkfxmZg637nt-A5URM2Q|AItk5AvCyEg65LZMuhj8Vg...
7,5,15,10,KHQXmUFiAD0FHvrMSakJBA|JrG4NINLspXPNhSXg7Q07Q|UIyDw8OqB17EkI2p3m7-EQ|L0zMk5SXnqR0JLEe0XY20g|QXGnmsKYANxOyZBqM-zlJA...
59,58,25,10,2SYEGA2fZLdzZQ9lmIfM5Q|J6MGQigHItdSlG-3XZ1myA|REiAM73RkOxFqCVlEFiRWA|jIaycjmFK6ZecPx-tMR43A|qnlupHx2Oyle1fQtxDeeRQ...
28,3,16,10,XLEgHW4tdk6VMt9uy10aog|Az1Xl-Wz_VXgswIW4OyAGQ|pZYR3SwZBJwMZFkkntHAhQ|yVID1jUqQ5W3FoHF95D9DQ|y1k27CYeuRJ42cbsDs5KJw...
43,58,25,9,skW4boArIApRw9DXKXukkA|4SQ5uczVt66-GGGeNQRfEA|Qm8pSLYuVS7eIyOx5YsWBw|P2Lm1g_RztvIaH4daQsXoQ|kL98j83h3QFUoSBBevCHOw...
12,58,53,9,8grIwJYQJ16EUImULDCdQw|Gy6tBn6lrf4AN2Gr1I8Oyg|2hCIzMXhSbgObLS4al82rg|I39Gnp-se1D8-mvv_MumOw|RNgb844JJbo6vO1iUod8vA...
63,54,16,8,i6MPwHhpfLWP7VAqz3osRg|nf1yYpBiim85cMnDI3uZyA|TYURMcdjX8f0QcIkbEK2IQ|Q0yXdKsJX513_89t5OHKKQ|8JgG48eiEWNal5aVI_au0Q...
4,37,36,8,OMat-LKN3hHMHvqOqoagqg|fuTio4avbu27o-XYk7k2Mw|KX4wcjdbHsl0HlxUOC8Y7w|DLM7E6lrW-zpM10RJ4fAeg|hKHSNrjuPVo1medSBJ50PA...
29,3,16,8,CVrU9WrUHs2SShb6RRMwVA|NY-8LSYUh16FCSCdIeVWWQ|U4hfGoAStyAAIe7iu6aHuA|HUI4BzH9yfLB6PXnwgUX-A|JfQ1HCK2Iv900P9pKZfMVg...
31,13,59,8,LUXRw-mr9emGL2gw4otvVA|gWJdBPzO0XqMzVDjnlF8TA|-CoVlGcw8nOmkp_ASc_DIQ|uX2TOURTQP1RshDcGyiIPA|tXPqXn7pUCPyXJ055woDkg...
30,13,39,8,vmWDmLMnEJ0bEfEwqo-Y-g|CWuEJwwbQeshZfXJ0YhOzQ|RPv7ucQhFpBG4GcOg1U6jg|ZsnasqY3YhRf_g2OmlTtoA|CToesleRmkTElhvXhA4nUw...
41,46,49,8,3LYKr4nbBVcNUlC4QelSfA|K1oIwHH0QNDOW5vTelfHgQ|cdrMvOVFFBSwYHb3s06U9w|B5-siB1O9FV2qELh8agkRA|x6a6XS8xa4pEk_16Q4OjgA...
33,13,37,8,byYUYIXVxS6IUXC42THYFw|cd-EkTwPP0G-bOoZtRTaVA|prUde8GQ1RFv4ShtiewzfQ|TfczlMPOJpsPun99HcKg5A|4FLz0ha5Gy4dKKl3UFVI6g...
22,47,27,7,4q4huGL_tQj1XpRB8P5F6A|k99d0o0T_qS8-oidI72nfA|HeUS0X72RccElOPKaZmnSA|5tvwM1Jk1jwJYoErwv3NTw|M1aBxVnAkqJxSp9Mx_5VYw...
31,46,47,7,QFzJKnSUtkgSs1lKOOxXeA|s59Ye_3f6LLRX46GqDy3IQ|at8csgaR7Vg9woCNt2J8Aw|mnE8PSW_Rv8-sBGxZu1ZXg|Uz_jqUTcRvyJ43semUZulg...
54,55,0,7,hUX1yAimviBIhb21D_KtcQ|bVLyH2WfOrK4UWlFXJzs9A|iSOwZtXQaUBf5tX-MTVT4w|fFbRLJVbT8DnEbm9sjDuCQ|K0JZOvCUgYtbPjcDzys_kw...
35,40,2,7,HhU92tUeDvBGaFfgQHISAw|IUy1uzwr_aQ4nzdBNMwgRA|2Kii_YhfQM4XO7b-Zf3c6A|auR1RNlfPQHmnfARtTM88A|DTExHg2DLquVmrjjQrBEPQ...
58,3,11,7,IAj1Lw3FAOY-yZn4IO7ElQ|u9Bs8L3oI1A3hcXs6vOv8w|rskpT6uTFJvcFhRJ2tEBwQ|0obzlnnuK6Mf0yc6aZBu1A|sFuaxIL9f8gC_aPprKIhEQ...
44,3,16,7,stnNDWmNgQzndXN2FBm__A|pNrAkT-LWNCKlaZ0EviyZw|cbmX8n3ruCXz1dkyetEnaA|56p17O_bHVEPBh4m41JAsA|akt1rURvNVAI9sfQfr-5lg...
36,3,58,7,s5wxHX-OEUctxVxgwTbvpw|ZqGYaqGmHqoqFdUI3WvNFg|orAQLRRZUb95YVuGPEzYiw|8gufdqP_ZArKVoJdwE-JcQ|ItxBRdovLG1Wl67DOr8_3A...
