Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
28-0,Category,4,Beauty & Spas,50.0,Barbers,50.0,,0.0,,0.0,,0.0,0.0
28-0,Region,4,87G64XJQ,25.0,87F6WRXM,25.0,87F6XR9C,25.0,87F6WRRW,25.0,,0.0,0.0
28-2,Category,1,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-2,Region,1,87F6XVRX,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-3,Category,2,Shopping,50.0,Beauty & Spas,50.0,,0.0,,0.0,,0.0,0.0
28-3,Region,2,87F6XR2H,50.0,87G63XVJ,50.0,,0.0,,0.0,,0.0,0.0
28-4,Category,4,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-4,Region,4,87F6WRXM,50.0,87F6WRRX,25.0,87G62XJ2,25.0,,0.0,,0.0,0.0
28-6,Category,1,Hotels & Travel,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-6,Region,1,87F6WRQ3,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-15,Category,3,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-15,Region,3,87F6XQ3R,33.3,87F6WRCM,33.3,87F6XR35,33.3,,0.0,,0.0,0.0
28-26,Category,3,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-26,Region,3,87G62XGC,33.3,87G62V5V,33.3,87G62W43,33.3,,0.0,,0.0,0.0
28-28,Category,6,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-28,Region,6,87F6WVR3,16.7,87F6WR9M,16.7,87G63X65,16.7,87G62WRF,16.7,87G63WH7,16.7,16.7
28-39,Category,16,Shopping,43.8,Beauty & Spas,18.8,Restaurants,18.8,Food,12.5,Arts & Entertainment,6.2,0.0
28-39,Region,16,87F6WRPX,6.2,87G62QGG,6.2,87F6WRPH,6.2,87F6XR8H,6.2,87G62XP5,6.2,68.8
28-48,Category,2,Specialty Food,50.0,Restaurants,50.0,,0.0,,0.0,,0.0,0.0
28-48,Region,2,87F6XR2Q,50.0,87F6WRGW,50.0,,0.0,,0.0,,0.0,0.0
28-50,Category,2,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-50,Region,2,87G62XM2,50.0,87G62WVW,50.0,,0.0,,0.0,,0.0,0.0
28-52,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-52,Region,1,87F6WVX3,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-53,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-53,Region,1,87F6WVX3,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-54,Category,1,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-54,Region,1,87G62VR4,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-63,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-63,Region,1,87F6WPW9,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-65,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-65,Region,1,87G63R92,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-70,Category,4,Restaurants,100.0,,0.0,,0.0,,0.0,,0.0,0.0
28-70,Region,4,87G63W39,25.0,87G62W77,25.0,87F6WRC7,25.0,87F6XQJ6,25.0,,0.0,0.0
