p1,p2,p3,n_pois,business_ids
83,28,50,52,WhcwzJgwkgbmDpRWB0FsMA|lYm5dJeogY1CXkCaC2ZwBQ|rNIb5eQtEHf8UvGCISvuYw|grmCeYtoRnFIo12Ag_VRBw|_Yv1kI0WM5f6SMn1PcUw5A...
83,27,58,36,8GaycgUnN21f1143qfaIKA|m2S6ooLTppAl7Svdkf9rmg|50mWV40JHQnUM40Ei0TtxQ|hSf_7XEagkJ3j5Q4mUupwg|wYxfFGvg2WNFhRye7Ys_NQ...
20,107,58,31,pVd3ngVzpD4hcsPtdoEKvA|iVy1H8P4MNHGpl6BOc81uQ|vRMnWct7c5hCvobYfIqrlw|iEOd2yZQERtdOOlQjuukPg|vF9PBhB_5SrQHbCXtyYijA...
27,5,50,30,39ZPKTlj5O_heuG2dFemQw|VxViqhXDqF0QXTSEBStv3A|XCArZZsxUNsE7SmQqCYjxg|rDSE2ZRJL5KF8w5LYRcjtw|eiY4v4b9_odNWbqUMZkNBg...
101,107,42,22,qZk3lDvVwOV6FcCnDOyo4Q|_myy-arvOjNTqriJ5atxyw|e1ArJKtwqxdL1uRTVWnraA|J9syTzHWDgl_02riNCUMug|WBHgKjHygl6ZhRZaNH9UvA...
5,105,92,18,Ma1-ObBgnDiC1IHS3xZ-hw|r0Gz71sm-Wsh4J4kjiaViw|Gtsj1UxOCIaHILzU2szHiQ|B8BLN0UaicCHZbBjfAqD9g|mYG4cx0aoZv7SIilWEqxVg...
101,107,92,18,zqezBUeLGh-U4kRJgB4sGA|smRQA9crZ6SwUrLATMSVPg|SyfP3r24NyOICnWrAYZgeQ|g18Wy2StxSnriHOoauq9Xw|MN-Em6pY0ZXZQsLv6uBhrA...
82,69,70,17,Z1whpjCi-3RiuBPUtdK44A|bK8e7Say_kRIUCgejOSVyw|pmPZ8Sr-xzX1J_GUoPx4Jg|yIw9cW6siE-vEVYyC8KMKQ|L3tYDypRcNzuAS0_UpQVTg...
5,105,52,17,frOmFhJME0yZ3HkyQov6Pg|dGLmZh5xXBbJfTGRLh5epQ|3XmcgHUY7r0OiPbwD_CpWw|gmgU0o7DjmE81Hk0LJcueg|s54vnnJ_IfkgXcZpmVOVyw...
17,68,91,15,Cv0yn-dxwg9lJVhu4i66_Q|SdvBzMpgL4iOncG6IwtEEg|PjArCc80MfEW8xVK4e5rGg|DLoLJPqY-LWfJsVZntJYjQ|8QK0MDPAYsM1kpfGXdWJ5w...
113,8,0,15,9AYJIH69QmqyZ3qvNhvEaw|7AtWfsYtWFsuwnmuF5Reow|zovW14jubnMvimCBKn7Jhg|XdOzDCNZYXO5U3-cLDQRHw|YQP1MseLyRjPOQ66pdi2uw...
98,55,124,15,jMNr0HA-RDiuQQdwGYx5nQ|ZHNIzPaw6xTDTE2Nd7NpTw|g6qA4Pp47tEiEAr9wP8H7A|Tm7_XTpSBDH4T0rWul6o_w|3sx_avs8pjvBakKcQ8-TSQ...
70,68,97,14,NfijTUcSPJ5iNtj2y3u8EA|NJJ6dOcDmB5nflOChgMbig|Zo19I9rfCpul24pXdulgjg|Vvl50sk4YIIVe7O3oUsJ8Q|dN-5y6JeSNUGTPjjRrobGw...
111,87,102,14,DVhjFN8N-jpw_EC_-Uoxjg|uRH_e7yi35_Dlj3gfsJppg|wRxNTeEqUc4AYm60f1V1dQ|FSg-2iUEOXZSz390j8QXbQ|udIY5ibZKxZj6Pi5UCkCbA...
