layer,code,n_pois,pct_of_total
2,73,612,2.2718835845274334
2,7,605,2.245897987972381
2,53,566,2.101121092879947
2,104,530,1.9674808820253915
2,88,511,1.896948548518821
2,114,471,1.7484594253470935
2,60,465,1.726186056871334
2,84,457,1.6964882322369885
2,29,450,1.6705026356819364
2,71,426,1.5814091617788997
2,90,420,1.5591357933031407
2,125,412,1.529437968668795
2,38,401,1.4886034597965698
2,40,401,1.4886034597965698
2,55,385,1.429207810527879
2,76,372,1.3809488454970673
2,69,366,1.3586754770213083
2,9,363,1.3475387927834288
2,30,351,1.3029920558319104
2,77,344,1.277006459276858
2,108,338,1.2547330908010987
2,120,337,1.2510208627218058
2,66,330,1.2250352661667532
2,49,322,1.1953374415324078
2,81,314,1.1656396168980623
2,80,312,1.1582151607394757
2,48,305,1.1322295641844236
2,42,295,1.0951072833914917
2,72,288,1.0691216868364393
2,86,283,1.0505605464399734
2,43,282,1.04684831836068
2,59,282,1.04684831836068
2,121,279,1.0357116341228005
2,33,269,0.9985893533298685
2,102,268,0.9948771252505755
2,68,267,0.9911648971712822
2,70,260,0.9651793006162299
2,56,256,0.950330388299057
2,94,250,0.9280570198232979
2,2,249,0.9243447917440047
2,85,248,0.9206325636647115
2,45,248,0.9206325636647115
2,109,242,0.8983591951889525
2,96,239,0.8872225109510727
2,97,231,0.8575246863167274
2,122,229,0.850100230158141
2,31,229,0.850100230158141
2,14,227,0.8426757739995546
2,123,227,0.8426757739995546
2,32,225,0.8352513178409682
2,19,225,0.8352513178409682
2,54,223,0.8278268616823817
2,100,222,0.8241146336030885
2,20,221,0.8204024055237954
2,89,220,0.8166901774445022
2,52,220,0.8166901774445022
2,6,210,0.7795678966515703
2,110,209,0.7758556685722771
2,112,207,0.7684312124136907
2,98,206,0.7647189843343974
2,24,204,0.7572945281758111
2,79,204,0.7572945281758111
2,51,202,0.7498700720172247
2,65,201,0.7461578439379316
2,101,199,0.7387333877793452
2,113,197,0.7313089316207588
2,82,197,0.7313089316207588
2,103,195,0.7238844754621724
2,64,190,0.7053233350657064
2,47,189,0.7016111069864132
2,1,184,0.6830499665899473
2,119,182,0.6756255104313609
2,4,180,0.6682010542727745
2,44,177,0.6570643700348949
2,57,175,0.6496399138763086
2,11,169,0.6273665454005494
2,115,163,0.6050931769247903
2,117,163,0.6050931769247903
2,116,163,0.6050931769247903
2,18,158,0.5865320365283243
2,3,154,0.5716831242111515
2,61,152,0.5642586680525651
2,35,151,0.5605464399732719
2,83,151,0.5605464399732719
2,23,142,0.5271363872596332
2,26,141,0.52342415918034
2,78,140,0.5197119311010469
2,95,135,0.5011507907045809
2,46,124,0.46031628183235573
2,107,123,0.4566040537530626
2,127,116,0.43061845719801023
2,67,114,0.42319400103942384
2,5,112,0.41576954488083745
2,92,110,0.4083450887222511
2,25,109,0.40463286064295795
2,105,109,0.40463286064295795
2,118,101,0.37493503600861233
2,75,96,0.3563738956121464
2,22,96,0.3563738956121464
2,93,94,0.34894943945356005
2,17,94,0.34894943945356005
2,21,92,0.34152498329497366
2,124,91,0.33781275521568044
2,126,89,0.33038829905709405
2,16,85,0.3155393867399213
2,111,84,0.3118271586606281
2,37,84,0.3118271586606281
2,58,82,0.3044027025020417
2,106,78,0.28955379018486893
2,34,74,0.2747048778676962
2,28,69,0.2561437374712302
2,50,63,0.23387036899547106
2,8,62,0.23015814091617787
2,87,60,0.2227336847575915
2,36,54,0.20046031628183236
2,27,52,0.19303586012324597
2,15,51,0.18932363204395278
2,12,50,0.1856114039646596
2,0,46,0.17076249164748683
2,91,40,0.1484891231717277
2,99,32,0.11879129853738213
2,62,32,0.11879129853738213
2,63,29,0.10765461429950256
2,39,28,0.10394238622020936
2,74,25,0.0928057019823298
2,13,13,0.04825896503081149
2,10,8,0.029697824634345532
2,41,7,0.02598559655505234
