Semantic_ID,Aspect,n_pois,Top1_name,Top1,Top2_name,Top2,Top3_name,Top3,Top4_name,Top4,Top5_name,Top5,Others
0-2-3,Category,1,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-2-3,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-2-22,Category,1,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-2-22,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-2-105,Category,1,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-2-105,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-2-125,Category,1,Health & Medical,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-2-125,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-8,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-8,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-15,Category,3,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-15,Region,3,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-82,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-82,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-83,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-4-83,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-7-82,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-7-82,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-11-9,Category,1,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-11-9,Region,1,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-11-118,Category,2,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-11-118,Region,2,Philadelphia,100.0,,0.0,,0.0,,0.0,,0.0,0.0
0-15-82,Category,2,Shopping,100.0,,0.0,,0.0,,0.0,,0.0,0.0
